cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75,ref_smiles,shape_tanimoto,color_tanimoto,combo_tanimoto,pred
162668556,2-(5-nitro-2-furyl)-N-[4-(trifluoromethyl)phenyl]-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1C(F)(F)F)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H11F3N4O4,5,2,4,5.002200000000003,416.073239492,30,114.06,0.2630194634402946,1,Alta,0.878,0.46875,0.9516563600123772,0.8309297700092829,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.5162,0.3617,0.8778,1.0873663
164576218,6-bromo-2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-1H-benzimidazole,C1=CC2=C(C=C1Br)NC(=N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C12H9BrClN5O2,5,1,4,3.335900000000001,368.962814308,21,89.64,0.2342704149933065,0,Alta,0.878,0.2985074626865671,0.9484735943437248,0.7859820614294355,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6817,0.5196,1.2014,1.2754693
14592771,6-chloro-2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC2=C(C=C1Cl)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H6ClN3O3,4,1,2,3.384500000000001,263.009768732,18,84.96,0.211864406779661,0,Alta,0.876,0.625,0.996522436491031,0.9036418273682733,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.9113,1.0,1.9113,1.8211331
164576227,2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-6-methoxy-1H-benzimidazole,COC1=CC2=C(C=C1)N=C(N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C13H12ClN5O3,6,1,5,2.582000000000001,321.0628669239999,22,98.87,0.2225144128653787,0,Alta,0.876,0.3043478260869565,0.9235177872910112,0.7687252969899975,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6867,0.6031,1.2898,1.2083288
129754457,1-methyl-2-(5-nitro-3-thienyl)benzimidazole,CN1C2=CC=CC=C2N=C1C3=CSC(=C3)[N+](=O)[O-],C12H9N3O2S,5,0,2,3.210000000000002,259.041547528,18,60.95999999999999,0.2952755905511811,0,Alta,0.876,0.238095238095238,0.9205672519329569,0.7499492484735271,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.5961,0.6207,1.2168,1.4514849
56239,6-chloro-2-(4-methoxyphenyl)-1H-benzimidazole,COC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)Cl,C14H11ClN2O,2,1,2,3.891900000000001,258.055990652,18,37.91,0.474808757583751,0,Alta,0.876,0.2372881355932203,0.8486554757029419,0.6958136406755114,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.741,0.6482,1.3892,1.3856609
3125070,N-[3-(1H-benzimidazol-2-yl)-4-chloro-phenyl]-4-phenyl-benzamide,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)Cl)C4=NC5=CC=CC=C5N4,C26H18ClN3O,2,2,4,6.802600000000004,423.113839876,31,57.78,0.5365178262374524,1,Alta,0.874,0.7115384615384616,0.9952110144008066,0.9242928761852204,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.7468,0.8801,1.6269,1.658015
129883878,2-[4-(4-methyl-1-piperidyl)phenyl]-1H-benzimidazole,CC1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,C19H21N3,2,1,2,4.466200000000003,291.173547672,22,31.92,0.6892230576441103,0,Alta,0.874,0.3508771929824561,0.8105327083437875,0.6956188295034547,NC(=N)NC1=CC2=C(NC(=N2)C2=CC=C(C=C2)C2=CC=CC=C2)C=C1,0.7707,0.6353,1.4059,1.3248023
794634,2-(3-methoxyphenyl)-1H-benzimidazole,COC1=CC=CC(=C1)C2=NC3=CC=CC=C3N2,C14H12N2O,2,1,2,3.238500000000001,224.094963004,17,37.91,0.4484304932735426,0,Alta,0.872,0.2631578947368421,0.8752720324779641,0.7222434980426836,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7186,0.6807,1.3993,1.4302989
3065146,5-(6-nitro-1H-benzimidazol-2-yl)furan-2-carbaldehyde,C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)C3=CC=C(O3)C=O,C12H7N3O4,5,1,3,2.543600000000001,257.043655704,19,102.03,0.186219739292365,0,Alta,0.87,0.4545454545454545,0.972531884964606,0.8430352773598181,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.8939,0.7262,1.6202,1.4604826
164576236,2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-6-ethoxy-1H-benzimidazole,CCOC1=CC2=C(C=C1)N=C(N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C14H14ClN5O3,6,1,6,2.972100000000001,335.0785169879999,23,98.87,0.2326287043592596,0,Alta,0.87,0.3,0.9173665938523324,0.7630249453892494,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.5937,0.6032,1.1969,1.1510078
5127237,N-[3-(1H-benzimidazol-2-yl)phenyl]-4-isopropoxy-benzamide,CC(C)OC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3,C23H21N3O2,3,2,5,5.269400000000004,371.1633769120001,28,67.00999999999999,0.4178480823757649,1,Alta,0.868,0.75,0.9599249126757496,0.907443684506812,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.8322,0.7502,1.5823,1.6267675
68602100,2-(3-chlorophenyl)-6-nitro-1H-benzimidazole,C1=CC(=CC(=C1)Cl)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C13H8ClN3O2,3,1,2,3.791500000000002,273.030504176,19,71.82,0.2645502645502646,0,Alta,0.868,0.3220338983050847,0.9615604822368956,0.8016788362539429,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.828,0.4999,1.3279,1.485765
21404692,2-(1-methyl-5-nitro-imidazol-2-yl)-1H-benzimidazole,CN1C(=CN=C1C2=NC3=CC=CC=C3N2)[N+](=O)[O-],C11H9N5O2,5,1,2,1.8716,243.075624528,18,89.64,0.2008032128514056,0,Alta,0.866,0.3684210526315789,0.9371648071677272,0.79497886853369,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7352,0.5621,1.2973,1.4644105
52991963,"2-(1,1,2,2,3,3,3-heptafluoropropyl)-6-nitro-1H-benzimidazole",C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)C(C(C(F)(F)F)(F)F)(F)F,C10H4F7N3O2,3,1,3,3.760499999999999,331.019173908,22,71.82,0.3063213589529379,0,Alta,0.866,0.2666666666666666,0.9325281381930196,0.7660627703114313,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.8046,0.5053,1.3099,1.3442878
135391702,N-(4-bromophenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Br,C18H11BrN4O4,5,2,4,4.745900000000002,425.9963669319999,27,114.06,0.2367175170962651,0,Alta,0.864,0.4918032786885246,0.955831361695404,0.8398243409436841,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.643,0.2996,0.9426,1.0562181
60981755,6-fluoro-2-(4-methoxyphenyl)-1H-benzimidazole,COC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)F,C14H11FN2O,2,1,2,3.377600000000002,242.085541192,18,37.91,0.474808757583751,0,Alta,0.864,0.2372881355932203,0.8702928362230478,0.7120416610655909,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7444,0.6483,1.3927,1.3980832
164576226,2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-3H-benzimidazole-5-carbonitrile,C1=CC2=C(C=C1C#N)NC(=N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C13H9ClN6O2,6,1,4,2.44508,316.047551208,22,113.43,0.1939522172264833,0,Alta,0.86,0.3043478260869565,0.936053028903765,0.7781267281995629,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6794,0.5197,1.199,1.2627944
53321120,N'-(4-chlorobenzoyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carbohydrazide,C1=CC(=CC=C1C(=O)NNC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C19H12ClN5O5,6,3,4,3.459300000000001,425.0526961639999,30,143.16,0.2095557418273261,0,Alta,0.858,0.5084745762711864,0.9318358113276884,0.8259955025635629,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.5149,0.2678,0.7828,0.94205654
156631123,N-[3-(1H-benzimidazol-2-ylamino)phenyl]-4-phenyl-benzamide,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=CC(=C3)NC4=NC5=CC=CC=C5N4,C26H20N4O,3,3,5,6.225800000000004,404.1637112600001,31,69.81,0.4440624552356396,1,Alta,0.856,0.72,0.9884080451642746,0.921306033873206,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.7025,0.5298,1.2323,1.4264448
