cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
715140,2-[[(1-ethylbenzimidazol-2-yl)amino]methyl]phenol,CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3O,C16H17N3O,4,2,4,3.373900000000002,267.137162164,20,50.08,0.3993610223642173,0,0.9890694486773344,0.54,0.8768020865080008
35280468,3-chloro-N-(1-methylbenzimidazol-2-yl)benzamide,CN1C2=CC=CC=C2N=C1NC(=O)C3=CC(=CC=C3)Cl,C15H12ClN3O,3,1,2,3.479000000000002,285.066889684,20,46.92,0.4262574595055413,0,0.9763817561324677,0.38596491228070173,0.8287775451695262
23604684,4-[[(1-allylbenzimidazol-2-yl)amino]methyl]phenol,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)O,C17H17N3O,4,2,5,3.5400000000000023,279.137162164,21,50.08,0.4193290734824281,0,0.987699059090775,0.38596491228070173,0.8372655223882567
808020,1-methyl-N-(4-pyridylmethyl)benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=NC=C3,C14H14N4,4,1,3,2.580400000000001,238.121846448,18,42.74,0.4211511464670098,0,0.9383068791016247,0.5208333333333334,0.8339384926595519
715158,1-[[(1-propylbenzimidazol-2-yl)amino]methyl]naphthalen-2-ol,CCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC4=CC=CC=C43)O,C21H21N3O,4,2,5,4.917200000000005,331.168462292,25,50.08,0.4992012779552716,0,0.9714600795886981,0.47368421052631576,0.8470161123231026
16488536,1-methyl-N-(o-tolylmethyl)benzimidazol-2-amine,CC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2C,C16H17N3,3,1,3,3.4938200000000013,251.142247544,19,29.85,0.6365159128978224,0,0.9700912574920131,0.5869565217391305,0.8743075735537924
1306723,"2,4-dichloro-6-[[(1-isopropylbenzimidazol-2-yl)amino]methyl]phenol",CC(C)N1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Cl)Cl)O,C17H17Cl2N3O,4,2,4,5.241700000000003,349.07486752399996,23,50.08,0.4592651757188498,1,0.9819570526058277,0.4482758620689655,0.8485367549716121
709553,2-[[(1-isopropylbenzimidazol-2-yl)amino]methyl]phenol,CC(C)N1C2=CC=CC=C2N=C1NCC3=CC=CC=C3O,C17H19N3O,4,2,4,3.934900000000003,281.152812228,21,50.08,0.4193290734824281,0,0.9917157250769316,0.54,0.8787867938076988
16488526,1-methyl-N-[[4-(trifluoromethyl)phenyl]methyl]benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)C(F)(F)F,C16H14F3N3,3,1,3,4.204200000000002,305.113982108,22,29.85,0.7370184254606365,0,0.9392709612622336,0.4807692307692308,0.8246455286389829
929923,4-chloro-2-[[(1-isopropylbenzimidazol-2-yl)amino]methyl]phenol,CC(C)N1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Cl)O,C17H18ClN3O,4,2,4,4.588300000000004,315.11383987599993,22,50.08,0.4392971246006389,0,0.9909957292415736,0.5660377358490566,0.8847562308934444
924348,N-benzyl-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C17H19N3,3,1,5,4.0584000000000024,265.157897608,20,29.85,0.6700167504187604,0,0.9379078013926521,0.4230769230769231,0.8092000818137198
924788,N-benzyl-1-isobutyl-benzimidazol-2-amine,CC(C)CN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C18H21N3,3,1,5,4.304400000000003,279.17354767200004,21,29.85,0.7035175879396984,0,0.9289474871213,0.3888888888888889,0.7939328375631972
1421252,"2,4-dibromo-6-[[(3-ethyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate",CC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)[O-],C16H15Br2N3O,2,2,4,3.6860000000000017,422.9581863,22,54.75999999999999,0.4017531044558072,0,0.8738935137154271,0.2537313432835821,0.7188529711074658
3623288,4-bromo-2-[[(1-hexylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C20H24BrN3O,4,2,8,5.696800000000005,401.110274488,25,50.08,0.4992012779552716,1,0.9444197650281496,0.7115384615384616,0.8861994391557276
1090104,1-ethyl-N-[(3-methoxyphenyl)methyl]benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC,C17H19N3O,4,1,5,3.6769000000000016,281.152812228,21,39.08,0.5373592630501536,0,0.9449197991740251,0.36666666666666664,0.8003565160471855
787406,4-methyl-2-[[(1-methylbenzimidazol-2-yl)amino]methyl]phenol,CC1=CC(=C(C=C1)O)CNC2=NC3=CC=CC=C3N2C,C16H17N3O,4,2,3,3.199420000000001,267.137162164,20,50.08,0.3993610223642173,0,0.989904033335073,0.7555555555555555,0.9313169138901937
951158,2-[[(1-allylbenzimidazol-2-yl)amino]methyl]-4-chloro-phenol,C=CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Cl)O,C17H16ClN3O,4,2,5,4.193400000000003,313.09818981199993,22,50.08,0.4392971246006389,0,0.9898647715701666,0.5087719298245614,0.8695915611337652
890291,2-[[(1-allylbenzimidazol-2-yl)amino]methyl]phenol,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3O,C17H17N3O,4,2,5,3.5400000000000023,279.137162164,21,50.08,0.4193290734824281,0,0.987699059090775,0.48148148148148145,0.8611446646884516
3814218,4-bromo-2-[[(1-decylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C24H32BrN3O,4,2,12,7.257200000000006,457.172874744,29,50.08,0.5790734824281151,1,0.8693374305710534,0.7115384615384616,0.8298876883129055
4399158,2-[(1-ethylbenzimidazol-2-yl)iminomethyl]phenol,CCN1C2=CC=CC=C2N=C1N=CC3=CC=CC=C3O,C16H15N3O,4,1,3,3.512400000000002,265.1215121,20,50.41,0.3967466772465781,0,0.9545298315275567,0.3,0.7908973736456675
83339638,2-[(1H-benzimidazol-2-ylamino)methyl]-5-methoxy-phenol,COC1=CC(=C(C=C1)CNC2=NC3=CC=CC=C3N2)O,C15H15N3O2,4,3,4,2.8892,269.11642672,20,70.17,0.2850220892119139,0,0.9619938070953009,0.3225806451612903,0.8021405166117983
22332112,N-[(4-ethylphenyl)methyl]-1-methyl-benzimidazol-2-amine,CCC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2C,C17H19N3,3,1,4,3.7478000000000016,265.157897608,20,29.85,0.6700167504187604,0,0.9573431428586837,0.5208333333333334,0.8482156904773461
135641156,2-[(E)-(1-methylbenzimidazol-2-yl)iminomethyl]phenol,CN1C2=CC=CC=C2N=C1N=CC3=CC=CC=C3O,C15H13N3O,4,1,2,3.029500000000002,251.105862036,19,50.41,0.3769093433842492,0,0.9478181628128822,0.36363636363636365,0.8017727130187526
3410481,2-[[(1-allylbenzimidazol-2-yl)amino]methyl]-4-bromo-phenol,C=CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C17H16BrN3O,4,2,5,4.302500000000003,357.04767423199996,22,50.08,0.4392971246006389,0,0.9899267056228483,0.6862745098039216,0.9140136566681167
16012603,N-[(2-fluorophenyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3F,C17H18FN3,3,1,5,4.197500000000003,283.148475796,21,29.85,0.7035175879396984,0,0.9320576065078032,0.43636363636363634,0.8081341139717615
23945542,N-(2-thienylmethyl)-1H-benzimidazol-2-amine,C1=CC=C2C(=C1)NC(=N2)NCC3=CC=CS3,C12H11N3S,3,2,3,3.2365000000000013,229.067368352,16,40.71,0.3930238270695161,0,0.9448204344621278,0.21311475409836064,0.7618940143711861
163325514,"2,4-dibromo-6-[[(1-methylbenzimidazol-2-yl)amino]methyl]phenol;hydrochloride",CN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Br)Br)O.Cl,C15H14Br2ClN3O,4,2,3,4.837800000000003,444.91921394799994,22,50.08,0.4392971246006389,0,0.9718183412405161,0.7083333333333334,0.9059470892637205
870407,1-propyl-N-(2-thienylmethyl)benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=CS3,C15H17N3S,4,1,5,4.119900000000003,271.114318544,19,29.85,0.6365159128978224,0,0.9268834429083437,0.3793103448275862,0.7899901683881543
4744126,N-benzyl-1H-benzimidazol-3-ium-2-amine,C1=CC=C(C=C1)CNC2=[NH+]C3=CC=CC=C3N2,C14H14N3+,1,2,3,2.5941,224.11822386809,17,41.96,0.4051477597712106,0,0.7031607004682322,0.15,0.5648705253511741
4025747,"2,4-dibromo-6-[[(1-hexadecylbenzimidazol-2-yl)amino]methyl]phenol",CCCCCCCCCCCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Br)Br)O,C30H43Br2N3O,4,2,18,10.360299999999992,619.1772871960001,36,50.08,0.7188498402555911,2,0.7528901918713307,0.5254237288135594,0.6960235761068878
136275329,2-(1H-benzimidazol-2-ylmethyleneamino)-4-chloro-phenol,C1=CC=C2C(=C1)NC(=N2)C=NC3=C(C=CC(=C3)Cl)O,C14H10ClN3O,3,2,2,3.6725000000000017,271.05123962,19,61.27,0.3101028235678146,0,0.9620899171971412,0.2153846153846154,0.7754135917440098
15669711,2-methoxy-4-[[(1-methylbenzimidazol-2-yl)amino]methyl]phenol,CN1C2=CC=CC=C2N=C1NCC3=CC(=C(C=C3)O)OC,C16H17N3O2,5,2,4,2.8996000000000004,283.132076784,21,59.31,0.3540718259989883,0,0.9793995967006722,0.5769230769230769,0.8787804667562733
75534567,4-[(Z)-2-chloro-2-(1-ethyl-5-fluoro-benzimidazol-2-yl)vinyl]thiadiazole,CCN1C2=C(C=C(C=C2)F)N=C1C(=CC3=CSN=N3)Cl,C13H10ClFN4S,5,0,3,3.7837000000000023,308.02987322,20,43.6,0.4587155963302752,0,0.8005902541124102,0.1917808219178082,0.6483878960637597
2849750,"(2,5-dimethylphenyl)-(1-methylbenzimidazol-2-yl)diazene",CC1=CC(=C(C=C1)C)N=NC2=NC3=CC=CC=C3N2C,C16H16N4,4,0,2,4.605540000000004,264.137496512,20,42.54,0.4701457451810061,0,0.7927406358681195,0.3103448275862069,0.6721416837976414
5210304,(1-methylbenzimidazol-2-yl)-phenyl-diazene,CN1C2=CC=CC=C2N=C1N=NC3=CC=CC=C3,C14H12N4,4,0,2,3.9887000000000024,236.106196384,18,42.54,0.4231311706629055,0,0.7811249133035867,0.3269230769230769,0.6675744542084593
16488540,1-allyl-N-[(3-chlorophenyl)methyl]benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Cl,C17H16ClN3,3,1,5,4.487800000000003,297.10327519199996,21,29.85,0.7035175879396984,0,0.9263235887337735,0.3387096774193548,0.7794201109051688
37750224,5-bromo-N-(1-ethylbenzimidazol-2-yl)thiophene-3-carboxamide,CCN1C2=CC=CC=C2N=C1NC(=O)C3=CSC(=C3)Br,C14H12BrN3OS,4,1,3,4.132500000000002,348.988445104,20,46.92,0.4262574595055413,0,0.9581867501707664,0.3492063492063492,0.8059416499296621
16488528,1-allyl-N-[(2-fluorophenyl)methyl]benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3F,C17H16FN3,3,1,5,3.973500000000003,281.132825732,21,29.85,0.7035175879396984,0,0.9363177918859507,0.3793103448275862,0.7970659301213596
1092987,N-benzyl-1-ethyl-benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C16H17N3,3,1,4,3.668300000000002,251.142247544,19,29.85,0.6365159128978224,0,0.958278482778708,0.4117647058823529,0.8216500385546192
3736134,"2,4-dibromo-6-[[(1-butylbenzimidazol-2-yl)amino]methyl]phenol",CCCCN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Br)Br)O,C18H19Br2N3O,4,2,6,5.6791000000000045,450.9894864280001,24,50.08,0.4792332268370607,1,0.9512069693426689,0.543859649122807,0.8493701392877034
