cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic,actividad_predicha
86794349,5-chloro-1-methyl-N-[(2-methylpyrazol-3-yl)methyl]benzimidazol-2-amine,CN1C2=C(C=C(C=C2)Cl)N=C1NCC3=CC=NN3C,C13H14ClN5,5,1,3,2.5723000000000003,275.093773128,19,47.67,0.3985735263268303,0,0.9279663413235472,0.3620689655172414,0.5035433094688179,0.6450176534203943,0.7864919973719708,0.5796445576711957,0.520897081585539,Media
51033097,(E)-N-(1H-benzimidazol-2-yl)-1-(3-bromophenyl)ethanimine,CC(=NC1=NC2=CC=CC=C2N1)C3=CC(=CC=C3)Br,C15H12BrN3,2,1,2,4.466100000000002,313.021459484,19,41.04,0.4629629629629629,0,0.9246993947105562,0.2580645161290322,0.4247232357744132,0.5913819554197942,0.7580406750651751,0.4884998483733528,0.4035160350663641,Media
4287195,"5,6-dimethyl-2-(m-tolylmethylamino)-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=CC(=CC=C1)CNC2=NC3=NC(=C(C(=O)N3N2)C)C,C15H17N5O,5,2,3,1.95496,283.143310164,21,75.08000000000001,0.2797016515716568,0,0.952798307766484,0.1857142857142857,0.3774852912273353,0.5692562967403849,0.7610273022534346,0.4206521807344314,0.3108411064925502,Media
16488536,1-methyl-N-(o-tolylmethyl)benzimidazol-2-amine,CC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2C,C16H17N3,3,1,3,3.4938200000000013,251.142247544,19,29.85,0.6365159128978224,0,0.9612949600998232,0.5869565217391305,0.6805411313293037,0.7741257409194768,0.8677103505096501,0.7511580034490403,0.7288717017410735,Media
4016874,4-bromo-2-[[(3-nonyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C23H30BrN3O,2,2,11,5.654200000000005,443.15722468,28,54.75999999999999,0.5113221329437546,1,0.8653244095610777,0.2714285714285714,0.419902530961698,0.5683764904948245,0.7168504500279511,0.4846377702051661,0.4132362478697103,Media
43680329,4-chloro-2-[(2-naphthylamino)methyl]phenol,C1=CC=C2C=C(C=CC2=C1)NCC3=C(C=CC(=C3)Cl)O,C17H14ClNO,2,2,3,4.810900000000003,283.076391748,20,32.26,0.6199628022318662,0,0.9323110947364072,0.3454545454545454,0.4921686827750109,0.6388828200954764,0.7855969574159418,0.5675130883551456,0.5041160840829373,Media
1847983,"2-(benzylamino)-6-chloro-5-methyl-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=C(C(=O)N2C(=N1)N=C(N2)NCC3=CC=CC=C3)Cl,C13H12ClN5O,5,2,3,1.9915199999999995,289.073037684,20,75.08,0.2663825253063399,0,0.954054180572572,0.1911764705882352,0.3818958980843194,0.5726153255804036,0.7633347530764878,0.4270745965189398,0.3185257237167757,Media
3926207,N-[(4-methoxyphenyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)OC,C18H21N3O,4,1,6,4.067000000000003,295.168462292,22,39.08,0.5629477993858751,0,0.919382765870493,0.3793103448275862,0.5143284500883128,0.6493465553490396,0.7843646606097663,0.5905348372034258,0.5370497326553537,Media
134854259,N-benzyl-1-prop-2-ynyl-benzimidazol-2-amine,C#CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C17H15N3,3,1,4,3.281600000000001,261.12659748,20,29.85,0.6700167504187604,0,0.9520186395932853,0.3636363636363636,0.510731932625594,0.6578275016148245,0.8049230706040549,0.5883779365473693,0.526260448774066,Media
136269933,"2-(2-quinolylazo)benzene-1,3-diol",C1=CC=C2C(=C1)C=CC(=N2)N=NC3=C(C=CC=C3O)O,C15H11N3O2,5,2,2,4.061400000000003,265.085126592,20,78.07000000000001,0.2561803509670808,0,0.958490920020126,0.2105263157894736,0.3975174668471367,0.5845086179047998,0.7714997689624628,0.4492077048643536,0.3452259828654327,Baja
