cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
135391702,N-(4-bromophenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Br,C18H11BrN4O4,5,2,4,4.745900000000002,425.99636693199994,27,114.06,0.2367175170962651,0,Alta,0.844,0.4918032786885246,0.955831361695404,0.8398243409436841
43829003,2-(2-chlorophenyl)-6-nitro-1H-benzimidazole,C1=CC=C(C(=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-])Cl,C13H8ClN3O2,3,1,2,3.791500000000002,273.030504176,19,71.82,0.2645502645502646,0,Alta,0.844,0.3275862068965517,0.9615604822368956,0.8030669134018097
71328500,5-fluoro-1-methyl-2-(5-nitro-2-furyl)benzimidazole,CN1C2=C(C=C(C=C2)F)N=C1C3=CC=C(O3)[N+](=O)[O-],C12H8FN3O3,5,0,2,2.880600000000001,261.054969336,19,74.1,0.2564102564102564,0,Alta,0.842,0.4285714285714285,0.9343549572125798,0.8079090750522919
127050307,6-chloro-2-(2-chloro-5-nitro-phenyl)-1H-benzimidazole,C1=CC(=C(C=C1[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)Cl)Cl,C13H7Cl2N3O2,3,1,2,4.4449000000000005,306.99153182400005,20,71.82,0.278473962684489,0,Alta,0.842,0.3220338983050847,0.9327077983753218,0.7800393233577625
3849182,2-(4-ethoxyphenyl)-6-methyl-1H-benzimidazole,CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C,C16H16N2O,2,1,3,3.937020000000002,252.126263132,19,37.91,0.5011870218939595,0,Alta,0.842,0.3157894736842105,0.842890985954619,0.7111156078870169
618589,6-nitro-2-(2-thienyl)-1H-benzimidazole,C1=CSC(=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C11H7N3O2S,4,1,2,3.199600000000001,245.025897464,17,71.82,0.2367028682818156,0,Alta,0.84,0.3275862068965517,0.9927618441500436,0.8264679348366706
60980808,6-fluoro-2-(3-methoxyphenyl)-1H-benzimidazole,COC1=CC=CC(=C1)C2=NC3=C(N2)C=C(C=C3)F,C14H11FN2O,2,1,2,3.377600000000002,242.085541192,18,37.91,0.474808757583751,0,Alta,0.84,0.2258064516129032,0.8702928362230478,0.7091712400705116
15125061,1-hydroxy-2-(3-nitrophenyl)-3-oxido-benzimidazol-3-ium,C1=CC=C2C(=C1)N(C(=[N+]2[O-])C3=CC(=CC=C3)[N+](=O)[O-])O,C13H9N3O4,5,1,2,2.0871999999999997,271.059305768,20,95.24,0.2099958000839983,0,Alta,0.84,0.1492537313432835,0.949294042766638,0.7492839649107993
623646,6-nitro-2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H6N4O5,6,1,3,2.6393000000000004,274.033819292,20,128.1,0.156128024980484,0,Alta,0.838,0.6382978723404256,0.956180050561094,0.8767095060059269
1088924,2-(5-methyl-2-furyl)-6-nitro-1H-benzimidazole,CC1=CC=C(O1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C12H9N3O3,4,1,2,3.0395200000000013,243.064391148,18,84.96,0.211864406779661,0,Alta,0.838,0.5294117647058824,1.0000000000000002,0.8823529411764708
